image_id,keratosis,compactness,assymetry,border_irr,hue_sd,satur_sd,value_sd,iqr_val
ISIC_0012962,1.0,0.8817919252022367,0.00863543717514238,3.0796893828989647,3.508486916492619,8.050167966069719,18.961197006254405,2.994039961911696
ISIC_0013725,1.0,0.915431741564189,0.001242863599913915,2.9158806013463963,81.63366987510398,8.299848286000339,21.77704731162804,7.594222890633446
ISIC_0012432,1.0,0.8930559428505707,0.010256454645506369,2.3261732279287095,137.3146746569063,18.10989271998985,16.6607832899185,25.79290145541327
ISIC_0012833,1.0,0.930689380269603,0.0042851207468482,4.268788508530791,2.039327909575618,10.912779872143515,12.992082423262527,4.651535406007831
ISIC_0014627,1.0,11.847379609650325,0.006089380392271614,4.630897059371648,94.48643168481317,8.35489893513034,28.298020478640982,11.108342879488347
ISIC_0012329,1.0,0.9257978146319019,0.0007587393472058779,2.7661223961513692,106.26530855484442,7.724726783366724,20.473421360739415,1.553020160623383
ISIC_0014654,1.0,6.068292479108898,0.007529122468748473,3.268177066762396,45.52516888091713,10.593293721442592,27.680633689857608,11.231884650888333
ISIC_0014577,1.0,2.010285229821392,0.0065967067630994065,2.7896908671162604,1.6609047116377778,3.9118364672344046,29.65960839840502,2.875709382212264
ISIC_0014628,1.0,2.698001322014442,0.0054921992591331825,2.458133654439946,56.013656938478526,4.956572324488717,28.352910377009444,6.997241005598454
ISIC_0014590,1.0,0.9814261161810858,0.008212416603795535,3.4868431932809916,5.324405066327286,11.721239110499562,17.875994567366583,23.37334911040338
ISIC_0013977,1.0,0.8967810793961438,0.016916691310722022,3.07245486646098,139.12888873020583,5.466847345302504,19.54810096821872,2.3439832307219035
ISIC_0012380,1.0,0.8241016264317358,0.009964533018071271,2.401257690534534,2.579638816856145,6.3574579410973255,22.194113927910497,5.131943840462611
ISIC_0012785,1.0,0.9188656869564145,0.01615536288793279,2.644293264451512,48.060397385728876,9.920109260354627,17.45561883604118,2.9464664404094236
ISIC_0012390,1.0,1.2238589045707786,0.0667414953059197,2.031186767290632,92.45496362043349,5.409713633306261,19.650595696802075,0.8318951811337598
ISIC_0014622,1.0,1.5799224148815834,0.007133275354266264,2.1959311726915924,78.27242647732741,5.779938761858144,18.162885927971953,15.221692821643288
ISIC_0013691,1.0,1.764430067904394,0.01600128744787425,3.357669388990905,161.22330054802805,6.8088261795373395,20.647344485307947,1.891693545061699
ISIC_0012773,1.0,1.1466850809287592,0.008971626012525491,2.363261089203133,124.62396239801872,7.576917732213111,16.976625868917772,10.838240428281608
ISIC_0013088,1.0,0.9441326899638379,0.0355720464947781,2.08772601524974,3.2960004899864086,2.965896303619324,17.28549595694664,17.861231031782275
ISIC_0012792,1.0,1.8272854525398856,0.028542277115828123,3.491391633446194,24.92472306027537,21.018426347449562,21.789263127726954,36.388717455964006
ISIC_0014575,1.0,9.99036654643512,0.0010805178729685458,3.909909468207807,6.1976072604631565,6.2190511845016765,31.46691174798861,20.46462322630797
ISIC_0013034,1.0,1.0504088612453293,0.008015110163531248,3.0494178526873204,1.5613542159075846,6.56782556514761,17.797151812114404,3.570791201078869
ISIC_0012172,1.0,1.0129973629487807,0.010938548096500415,2.4716601110465657,168.37735689317566,6.442802577594113,18.957072099413164,3.887446314581794
ISIC_0014602,1.0,0.9343905143113197,0.0020752261835758736,2.7555321214241197,25.958848242183432,7.9221489424753795,18.018456175680438,13.213278284994033
ISIC_0014647,1.0,47.68429542055287,0.052260572788503816,3.4826268147010757,148.53383244083594,4.246381061695917,28.69446197722635,61.747497174723506
ISIC_0013160,1.0,0.9796974472489773,0.03178775704031895,2.057948214522102,3.7915908759249635,9.48948086682676,18.11456961060451,4.3258712133543895
